,name,team,position,median_fpts,high_fpts,low_fpts
0,Josh Allen,BUF,qb,379.6,438.8,371.2
1,Patrick Mahomes II,KC,qb,377.1,442.2,367.6
2,Kyler Murray,ARI,qb,357.3,414.4,352.0
3,Lamar Jackson,BAL,qb,349.4,406.8,327.9
4,Dak Prescott,DAL,qb,341.0,403.9,340.4
5,Aaron Rodgers,GB,qb,333.6,400.5,314.3
6,Justin Herbert,LAC,qb,332.7,379.9,306.8
7,Russell Wilson,SEA,qb,332.7,426.3,311.6
8,Tom Brady,TB,qb,322.2,388.5,312.8
9,Ryan Tannehill,TEN,qb,304.9,360.2,290.2
10,Jalen Hurts,PHI,qb,303.8,359.7,290.1
11,Joe Burrow,CIN,qb,287.2,349.2,284.3
12,Matthew Stafford,LAR,qb,285.0,333.2,279.3
13,Trevor Lawrence,JAC,qb,275.1,333.1,265.9
14,Kirk Cousins,MIN,qb,274.9,346.2,258.8
15,Matt Ryan,ATL,qb,272.9,328.8,266.9
16,Derek Carr,LV,qb,268.3,327.1,259.1
17,Tua Tagovailoa,MIA,qb,267.8,306.3,262.0
18,Baker Mayfield,CLE,qb,267.5,318.8,261.3
19,Ben Roethlisberger,PIT,qb,260.3,318.0,255.4
20,Ryan Fitzpatrick,WAS,qb,257.9,286.5,261.5
21,Daniel Jones,NYG,qb,253.6,322.3,258.5
22,Sam Darnold,CAR,qb,249.9,324.0,221.0
23,Zach Wilson,NYJ,qb,248.0,309.0,239.3
24,Jared Goff,DET,qb,237.6,266.5,249.7
25,Deshaun Watson,HOU,qb,198.8,322.9,135.1
26,Carson Wentz,IND,qb,198.3,247.6,186.8
27,Justin Fields,CHI,qb,190.2,283.9,127.9
28,Cam Newton,NE,qb,187.9,288.0,133.4
29,Jameis Winston,NO,qb,177.1,261.2,146.3
30,Trey Lance,SF,qb,176.7,292.6,76.0
31,Teddy Bridgewater,DEN,qb,137.0,200.2,119.0
32,Taysom Hill,NO,qb,132.1,165.7,113.7
33,Jimmy Garoppolo,SF,qb,125.7,271.2,75.4
34,Tyrod Taylor,HOU,qb,124.2,197.4,21.5
35,Drew Lock,DEN,qb,112.3,148.8,91.0
36,Mac Jones,NE,qb,95.3,137.2,24.2
37,Davis Mills,HOU,qb,94.8,94.8,94.8
38,Andy Dalton,CHI,qb,87.4,181.4,38.7
39,Jacob Eason,IND,qb,63.6,97.2,29.6
40,Taylor Heinicke,WAS,qb,18.8,52.6,0.0
41,Kyle Trask,TB,qb,16.2,22.1,10.3
42,Mason Rudolph,PIT,qb,14.7,28.7,0.0
43,Jacoby Brissett,MIA,qb,14.3,30.9,0.0
44,Phillip Walker,CAR,qb,13.3,24.8,0.0
45,James Morgan,NYJ,qb,12.3,17.8,6.7
46,Tim Boyle,DET,qb,10.9,31.5,0.0
47,Kellen Mond,MIN,qb,10.7,11.6,9.8
48,Joe Flacco,PHI,qb,10.6,21.8,0.0
49,DeShone Kizer,TEN,qb,10.5,10.5,10.5
50,Gardner Minshew II,JAC,qb,9.7,19.2,0.0
51,Marcus Mariota,LV,qb,9.6,19.3,0.0
52,Mitchell Trubisky,BUF,qb,9.3,17.9,0.0
53,Chad Henne,KC,qb,9.0,15.5,0.0
54,Trace McSorley,BAL,qb,8.5,19.4,0.0
55,John Wolford,LAR,qb,8.3,13.6,0.0
