,Pos,Player,Team,Auction Value,Upside,Downside,Exp_PTS,Hi_PTS,Lo_PTS
102,RB,Saquon Barkley,NYG,49.99503722084369,7.176178660049638,-5.210918114143923,273.7,297.8,256.2
103,RB,Ezekiel Elliott,DAL,46.18362282878413,10.630272952853616,-8.754342431761785,260.9,296.6,231.5
104,RB,Christian McCaffrey,CAR,43.890818858560806,9.766749379652614,-5.836228287841192,253.2,286.0,233.6
105,RB,Alvin Kamara,NO,42.72952853598017,5.270471464019851,-1.3697270471464094,249.3,267.0,244.7
785,QB,Patrick Mahomes,KC,41.77667493796528,6.99751861042184,-2.828784119106701,339.6,363.1,330.1
786,QB,Deshaun Watson,HOU,35.82133995037223,5.98511166253101,-3.126550868486354,319.6,339.7,309.1
2644,WR,Julio Jones,ATL,35.25558312655089,3.0669975186104184,-3.8709677419354858,205.9,216.2,192.9
2645,WR,DeAndre Hopkins,HOU,35.047146401985124,4.585607940446654,-4.287841191066993,205.2,220.6,190.8
2646,WR,Davante Adams,GB,34.600496277915646,3.6327543424317685,-3.0967741935483817,203.7,215.9,193.3
787,QB,Aaron Rodgers,GB,33.439205955335005,8.099255583126551,-3.8709677419354858,311.6,338.8,298.6
788,QB,Andrew Luck,IND,33.29032258064518,6.4317617866004895,-3.573200992555833,311.1,332.7,299.1
2647,WR,Tyreek Hill,KC,32.724565756823836,3.8114143920595502,-8.069478908188588,197.4,210.2,170.3
106,RB,David Johnson,ARI,32.33746898263029,9.588089330024815,-5.657568238213402,214.4,246.6,195.4
107,RB,Le'Veon Bell,NYJ,31.831265508684876,9.707196029776686,-6.223325062034736,212.7,245.3,191.8
108,RB,Melvin Gordon,LAC,31.23573200992557,12.297766749379662,-7.027295285359803,210.7,252.0,187.1
789,QB,Matt Ryan,ATL,30.72952853598016,2.322580645161295,0.11910669975185433,302.5,310.3,302.9
109,RB,James Conner,PIT,30.66997518610424,2.1439205955334963,-1.399503722084373,208.8,216.0,204.1
2648,WR,JuJu Smith-Schuster,PIT,30.521091811414408,4.55583126550869,-4.883374689826307,190.0,205.3,173.6
790,QB,Cam Newton,CAR,30.312655086848654,6.521091811414388,-0.4466501240694791,301.1,323.0,299.6
110,RB,Joe Mixon,CIN,29.86600496277917,6.640198511166259,-4.466501240694791,206.1,228.4,191.1
2649,WR,Mike Evans,TB,29.240694789081896,4.317617866004965,-3.2158808933002447,185.7,200.2,174.9
111,RB,Todd Gurley,LAR,29.181141439205973,11.672456575682384,-7.980148883374697,203.8,243.0,177.0
2135,TE,Travis Kelce,KC,29.18114143920597,5.002481389578161,-5.18114143920596,176.9,193.7,159.5
2650,WR,Antonio Brown,OAK,29.00248138957818,3.0074441687344913,-2.322580645161295,184.9,195.0,177.1
2651,WR,Michael Thomas,NO,28.73449131513649,5.925558312655092,-4.674937965260545,184.0,203.9,168.3
2652,WR,Odell Beckham Jr.,CLE,28.228287841191083,7.890818858560798,-8.605459057071966,182.3,208.8,153.4
112,RB,Dalvin Cook,MIN,27.811414392059564,2.1141439205955415,-2.828784119106701,199.2,206.3,189.7
791,QB,Drew Brees,NO,27.42431761786601,5.330024813895794,-3.8709677419354858,291.4,309.3,278.4
792,QB,Jameis Winston,TB,26.679900744416877,4.883374689826315,-5.121588089330024,288.9,305.3,271.7
113,RB,Derrick Henry,TEN,26.620347394540953,5.657568238213402,-3.7220843672456594,195.2,214.2,182.7
793,QB,Jared Goff,LAR,26.590570719602994,4.496277915632747,-3.9305210918114297,288.6,303.7,275.4
114,RB,Damien Williams,KC,26.441687344913163,5.478908188585613,-4.436724565756828,194.6,213.0,179.7
794,QB,Baker Mayfield,CLE,26.024813895781644,6.908188585607941,-2.888337468982628,286.7,309.9,277.0
795,QB,Dak Prescott,DAL,26.024813895781644,2.6203473945409477,-1.131513647642684,286.7,295.5,282.9
115,RB,Nick Chubb,CLE,25.905707196029795,5.568238213399503,-3.7518610421836316,192.8,211.5,180.2
796,QB,Russell Wilson,SEA,25.84615384615386,10.332506203473947,-2.6799007444168748,286.1,320.8,277.1
797,QB,Carson Wentz,PHI,25.637717121588093,3.573200992555833,-0.3573200992555799,285.4,297.4,284.2
798,QB,Ben Roethlisberger,PIT,25.607940446650137,3.4838709677419337,-1.4590570719603086,285.3,297.0,280.4
799,QB,Lamar Jackson,BAL,24.65508684863525,9.945409429280396,-7.027295285359812,282.1,315.5,258.5
2653,WR,Keenan Allen,LAC,24.3573200992556,4.317617866004965,-2.9181141439206004,169.3,183.8,159.5
116,RB,Leonard Fournette,JAC,23.34491315136477,5.657568238213402,-6.282878411910671,184.2,203.2,163.1
2654,WR,T.Y. Hilton,IND,23.225806451612915,4.258064516129037,-3.751861042183623,165.5,179.8,152.9
800,QB,Tom Brady,NE,22.80893300248139,2.0843672456575693,-1.9354838709677429,275.9,282.9,269.4
117,RB,Chris Carson,SEA,22.540942928039716,11.017369727047152,-3.573200992555833,181.5,218.5,169.5
2655,WR,Adam Thielen,MIN,22.511166253101745,5.925558312655092,-7.265508684863529,163.1,183.0,138.7
801,QB,Kirk Cousins,MIN,22.45161290322581,2.9181141439206004,-3.63275434243176,274.7,284.5,262.5
2656,WR,Julian Edelman,NE,22.392059553349885,1.9057071960297793,-2.9478908188585553,162.7,169.1,152.8
2136,TE,George Kittle,SF,22.124069478908194,4.406947890818864,-6.133995037220845,153.2,168.0,132.6
2657,WR,A.J. Green,CIN,21.79652605459058,5.151364764267996,-2.3225806451612865,160.7,178.0,152.9
802,QB,Mitch Trubisky,CHI,21.766749379652605,2.3523573200992667,-2.888337468982628,272.4,280.3,262.7
803,QB,Philip Rivers,LAC,21.409429280397028,3.6625310173697323,-2.769230769230774,271.2,283.5,261.9
118,RB,Marlon Mack,IND,21.260545905707204,3.6327543424317685,-1.5186104218362273,177.2,189.4,172.1
804,QB,Kyler Murray,ARI,20.962779156327546,7.92059553349877,-17.53846153846154,269.7,296.3,210.8
119,RB,Aaron Jones,GB,20.87344913151366,2.203473945409432,-3.1861042183622894,175.9,183.3,165.2
2658,WR,Brandin Cooks,LAR,20.45657568238214,2.828784119106701,-4.942928039702234,156.2,165.7,139.6
120,RB,Devonta Freeman,ATL,20.33746898263028,5.955334987593055,-8.18858560794045,174.1,194.1,146.6
2659,WR,Amari Cooper,DAL,20.09925558312656,4.138957816377175,-3.930521091811413,155.0,168.9,141.8
121,RB,Kerryon Johnson,DET,19.980148883374703,3.6029776674937968,-1.6079404466501266,172.9,185.0,167.5
805,QB,Josh Allen,BUF,19.950372208436733,4.496277915632747,-2.263027295285368,266.3,281.4,258.7
122,RB,Josh Jacobs,OAK,19.86104218362284,4.942928039702234,-3.63275434243176,172.5,189.1,160.3
2660,WR,Robert Woods,LAR,19.65260545905708,5.538461538461539,-4.109181141439211,153.5,172.1,139.7
123,RB,Sony Michel,NE,19.05707196029778,11.702233250620347,-10.27295285359802,169.8,209.1,135.3
2661,WR,Stefon Diggs,MIN,18.878411910669985,5.71712158808933,-3.334987593052116,150.9,170.1,139.7
2137,TE,Zach Ertz,PHI,18.491315136476434,4.406947890818864,-1.012406947890821,141.0,155.8,137.6
124,RB,Phillip Lindsay,DEN,18.372208436724577,3.066997518610427,-1.99503722084367,167.5,177.8,160.8
2662,WR,Tyler Lockett,SEA,16.97270471464021,12.595533498759314,-4.674937965260545,144.5,186.8,128.8
2663,WR,Cooper Kupp,LAR,16.228287841191076,4.55583126550869,-2.9776674937965275,142.0,157.3,132.0
